"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2020",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2020",0.288,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2019",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2019",0.483,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2019",0.162,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2019",0.535,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2018",0.77,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2018",0.219,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2018",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2018",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2017",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2017",0.489,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2017",0.167,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2017",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2016",0.341,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2016",0.555,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2016",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2016",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2015",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2015",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2015",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2015",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2014",0.209,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2014",0.365,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2014",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2014",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2013",0.225,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Urban","2013",0.209,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Rural","2013",0.253,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Female","Age: 15-17","Area type: Urban","2013",,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","Children in hazardous work not attending school by sex, age and rural / urban areas (thousands)","Male","Age: 15-17","Area type: Rural","2012",0.372,"Unreliable",,"Repository: ILO-STATISTICS - Micro data processing"
